sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Average","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[loop in for__acquire_threadstor_threads]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","80","","","","","","","","6","6","6","6","1","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in for__acquire_threadstor_threads]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","0","0","0","0","242","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in for__once_private]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in for__reentrancy_init]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in reentrancy_init]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","","","","","","","","521","521","521","521","2","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in reentrancy_init]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","","","","","","","","106","106","106","106","1","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in for_adjustl]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","0","0","0","0","2","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in for_trim]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1.00399","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","249","249","247","258","14","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in _f90_dope_vector_init]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","64","","","","","","","","1","1","1","1","30","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvt_integer_to_text]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","","","","","","","","8","8","8","8","1","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvt_integer64_to_text]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","","","","","","","","3","3","3","5","61","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvt_integer64_to_text]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","1","41","","","","Int32","1","128","SSE2","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","1","1","1","16","208","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","","","","","","","","3","3","1","10","22","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","2","78","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","","","","","","","","1","1","1","1","78","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","64","","","","","","","","2","2","2","2","208","","","","Float32","1","128","SSE","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","","","","","","","","1","1","1","1","1315","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","1","92","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","48","","","","","","","","1","1","1","1","28","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","1","9","","","","Int32","1","128","SSE2","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","","","","","","","","3","3","3","3","6","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","64","","","","","","","","2","2","2","2","92","","","","Float32","1","128","SSE","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","1","1","1","2","78","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","64","","","","","","","","2","2","2","2","91","","","","Float32","1","128","SSE","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","64","","","","","","","","2","2","2","2","28","","","","Float32","1","128","SSE","","","","","","","","","picsar_carl_advisor"
"","[loop in cvtas_t_to_a]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","1","1","1","1","28","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in __sti__$E]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","19.6667","","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"","[loop in __intel_proc_init_ftzdazule]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","64","","","","","","","","8","8","8","8","1","","","","Float32","1","128","SSE","","","","","","","","","picsar_carl_advisor"
"","[loop in __libc_csu_init at elf-init.c:87]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","","elf-init.c:87","elf-init.c:87","picsar_carl_advisor"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2009]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","","","","","","","","","","","","","","","","[Int32]","[0; 1]","[128]","[SSE2]","","","","","","","kmp_affinity.cpp:2009","kmp_affinity.cpp:2009","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2009]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","1","1","1","1","257","","","","Int32","1","128","SSE2","","","","","","","kmp_affinity.cpp:2009","kmp_affinity.cpp:2009","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2009]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2009","kmp_affinity.cpp:2009","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2009]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2009","kmp_affinity.cpp:2009","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2032]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","","","","","","","","","","","","","","[Packs]"," [Packs]","[Int16; Int32; Int8]","[0; 3]","[128]","[SSE2]","","","","","","","kmp_affinity.cpp:2032","kmp_affinity.cpp:2032","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2032]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","1","1","","Packs","Packs","Int16; Int32; Int8","3","128","SSE2","","","","","","","kmp_affinity.cpp:2032","kmp_affinity.cpp:2032","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2032]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2032","kmp_affinity.cpp:2032","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2032]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2032","kmp_affinity.cpp:2032","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2178]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","","","","","","","","","","","","","","","","[Int32]","[0; 1]","[128]","[SSE2]","","","","","","","kmp_affinity.cpp:2178","kmp_affinity.cpp:2178","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2178]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","1","1","1","1","256","","","","Int32","1","128","SSE2","","","","","","","kmp_affinity.cpp:2178","kmp_affinity.cpp:2178","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2178]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2178","kmp_affinity.cpp:2178","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2178]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2178","kmp_affinity.cpp:2178","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2353]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","","","","","","","","","","","","","","","","","[0]","","","","","","","","","kmp_affinity.cpp:2353","kmp_affinity.cpp:2353","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2353]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","40","","","","","","","","1","1","1","1","63","","","","","0","","","","","","","","","kmp_affinity.cpp:2353","kmp_affinity.cpp:2353","libiomp5.so"
"","[child]-[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2353]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","kmp_affinity.cpp:2353","kmp_affinity.cpp:2353","libiomp5.so"
"","[loop in __kmp_create_masks at kmp_affinity.cpp:2688]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","","","","","","","","","","","","","","","","","[1]","","","","","","","","","kmp_affinity.cpp:2688","kmp_affinity.cpp:2688","libiomp5.so"
"","[child]-[loop in __kmp_create_masks at kmp_affinity.cpp:2688]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2618","","","","","","","","1","1","1","1","1","","","","","1","","","","","","","","","kmp_affinity.cpp:2688","kmp_affinity.cpp:2688","libiomp5.so"
"","[loop in __kmp_remove_signals at z_Linux_util.c:1483]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","","","","","","","","","","","","","","","","","[0]","","","","","","","","","z_Linux_util.c:1483","z_Linux_util.c:1483","libiomp5.so"
"","[child]-[loop in __kmp_remove_signals at z_Linux_util.c:1483]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","1","64","","","","","0","","","","","","","","","z_Linux_util.c:1483","z_Linux_util.c:1483","libiomp5.so"
"","[loop in rml::internal::MemoryPool::destroy at frontend.cpp:1151]","-1","","n/a","n/a","n/a","Vectorized Versions","","","","","","","","","","","[SSE2]","[SSE2]","","","[2; 4]","","","","","","","","","","[Float32; Int64]","[1]","[128]","[SSE; SSE2]","","","","","","","frontend.cpp:1151","frontend.cpp:1151","libiomp5.so"
"","[child]-[loop in rml::internal::MemoryPool::destroy at frontend.cpp:1151]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","0.0001","103.101","","SSE2","SSE2","","","2; 4","","1022","1022","1022","1022","1","","","","Float32; Int64","1","128","SSE; SSE2","","","","","","","frontend.cpp:1151","frontend.cpp:1151","libiomp5.so"
"","[child]-[loop in rml::internal::MemoryPool::destroy at frontend.cpp:1151]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","103.427","","SSE2","SSE2","","","2; 4","","241","241","241","241","1","","","","Float32; Int64","1","128","SSE; SSE2","","","","","","","frontend.cpp:1151","frontend.cpp:1151","libiomp5.so"
"","[loop in __kmp_stg_parse_num_threads at kmp_settings.c:1013]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","[0]","","","","","","","","","kmp_settings.c:1013","kmp_settings.c:1013","libiomp5.so"
"","[child]-[loop in __kmp_stg_parse_num_threads at kmp_settings.c:1013]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_settings.c:1013","kmp_settings.c:1013","libiomp5.so"
"","[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[child]-[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[child]-[loop in __itt_get_env_var at ittnotify_static.c:743]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","ittnotify_static.c:743","ittnotify_static.c:743","libiomp5.so"
"","[loop in rml::internal::Backend::IndexedBins::findBlock at backend.cpp:821]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","2 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","","backend.cpp:821","backend.cpp:821","libiomp5.so"
"","[child]-[loop in rml::internal::Backend::IndexedBins::findBlock at backend.cpp:821]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","4","4","1","7","23","","","","","0","","","","","","","","","backend.cpp:821","backend.cpp:821","libiomp5.so"
"","[child]-[loop in rml::internal::Backend::IndexedBins::findBlock at backend.cpp:821]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","15","","","","","0","","","","","","","","","backend.cpp:821","backend.cpp:821","libiomp5.so"
"","[loop in rml::internal::Backend::startUseBlock at backend.cpp:1336]","-1","","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","1 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","","backend.cpp:1336","backend.cpp:1336","libiomp5.so"
"","[child]-[loop in rml::internal::Backend::startUseBlock at backend.cpp:1336]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","","backend.cpp:1336","backend.cpp:1336","libiomp5.so"
"","[child]-[loop in rml::internal::Backend::startUseBlock at backend.cpp:1336]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","backend.cpp:1336","backend.cpp:1336","libiomp5.so"
"","[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","2 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[child]-[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","14","14","14","14","1","","","","","0","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[child]-[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","57.3333","cannot compute loop iteration count before executing the loop ","","","","","","","6","6","6","6","1","","","","","0","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Scalar Versions","","","","","","","","","","2 cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","[0]","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[child]-[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[child]-[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[child]-[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[child]-[loop in rml::internal::LargeObjectCache::doCleanup at large_objects.cpp:748]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","large_objects.cpp:748","large_objects.cpp:748","libiomp5.so"
"","[loop in compute_simulation_axis at mpi_routines.F90:598]","-1","4 Vector register spilling possible ","n/a","n/a","n/a","Vectorized Versions","","","","","","","","","","","[AVX512]","[AVX512]","","","[16; 8]","","","","","","","","[FMA; Inserts; Mask Manipulations; Permutes; Scatters; Type Conversions; Unpacks]"," [FMA; Inserts; Mask Manipulations; Permutes; Scatters; Type Conversions; Unpacks]","[Float32; Float64; Int64; UInt64]","[29; 3; 30; 32]","[128/256/512]","[AVX; AVX2; AVX512F_512]","[Unrolled by 2]","[Multi-Pumped; Unrolled]","[2]","[2]","[Masked Loop Vectorization; Multi-Pumped by 2; Unaligned Access in Vector Loop]","[LOOP WAS UNROLLED BY 2; MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1; MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 2]","mpi_routines.F90:598","mpi_routines.F90:598","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:598]","-1","1 Data type conversions present ","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.36x","","","","","","","Type Conversions; Permutes; Unpacks; Inserts; FMA","FMA; Inserts; Permutes; Type Conversions; Unpacks","<b>Float64</b>; Int64; UInt64","29","128/256/512","AVX; AVX2; AVX512F_512","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1","mpi_routines.F90:598","mpi_routines.F90:598","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:598]","-1","3 Vector register spilling possible ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","32","","0.1538","100","","< 0.0001","32","< 0.0001","208","","AVX512","AVX512","","","8","3.46x","1","1","1","1","1","","Type Conversions; Permutes; Unpacks; Inserts; FMA","FMA; Inserts; Permutes; Type Conversions; Unpacks","Float32; <b>Float64</b>; Int64; UInt64","32","128/256/512","AVX; AVX2; AVX512F_512","Unrolled by 2","Unrolled","2","","","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1; LOOP WAS UNROLLED BY 2","mpi_routines.F90:598","mpi_routines.F90:598","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:598]","-1","3 Vector register spilling possible ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","16","1.84x","","","","","","","Type Conversions; Permutes; Unpacks; Inserts; FMA; Scatters; Mask Manipulations","FMA; Inserts; Mask Manipulations; Permutes; Scatters; Type Conversions; Unpacks","Float32; <b>Float64</b>; UInt64","32","128/256/512","AVX; AVX2; AVX512F_512","","Multi-Pumped","","2","Multi-Pumped by 2","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 2","mpi_routines.F90:598","mpi_routines.F90:598","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:598]","-1","1 Data type conversions present ","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","30","","0.1250","93.75","","< 0.0001","15","< 0.0001","120","","AVX512","AVX512","","","8","1.86x","2","2","2","2","1","","Type Conversions; Permutes; Unpacks; Inserts; FMA","FMA; Inserts; Permutes; Type Conversions; Unpacks","<b>Float64</b>; Int64; UInt64","30","128/256/512","AVX; AVX2; AVX512F_512","","","","","Masked Loop Vectorization","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1","mpi_routines.F90:598","mpi_routines.F90:598","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:598]","-1","1 Data type conversions present ","n/a","n/a","n/a","Remainder [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","Type Conversions; FMA","FMA; Type Conversions","Float64; UInt64","3","","","","","","","","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 2","mpi_routines.F90:598","mpi_routines.F90:598","picsar_carl_advisor"
"","[loop in compute_simulation_axis at mpi_routines.F90:601]","-1","4 Vector register spilling possible ","n/a","n/a","n/a","Vectorized Versions","","","","","","","","","","","[AVX512]","[AVX512]","","","[16; 8]","","","","","","","","[FMA; Inserts; Mask Manipulations; Permutes; Scatters; Type Conversions; Unpacks]"," [FMA; Inserts; Mask Manipulations; Permutes; Scatters; Type Conversions; Unpacks]","[Float32; Float64; Int64; UInt64]","[29; 3; 30; 32]","[128/256/512]","[AVX; AVX2; AVX512F_512]","[Unrolled by 2]","[Multi-Pumped; Unrolled]","[2]","[2]","[Masked Loop Vectorization; Multi-Pumped by 2; Unaligned Access in Vector Loop]","[LOOP WAS UNROLLED BY 2; MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1; MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 2]","mpi_routines.F90:601","mpi_routines.F90:601","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:601]","-1","1 Data type conversions present ","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.36x","","","","","","","Type Conversions; Permutes; Unpacks; Inserts; FMA","FMA; Inserts; Permutes; Type Conversions; Unpacks","<b>Float64</b>; Int64; UInt64","29","128/256/512","AVX; AVX2; AVX512F_512","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1","mpi_routines.F90:601","mpi_routines.F90:601","picsar_carl_advisor"
"","[child]-[loop in compute_simulation_axis at mpi_routines.F90:601]","-1","3 Vector register spilling possible ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","32","","0.1538","100","","< 0.0001","32","< 0.0001","208","","AVX512","AVX512","","","8","3.46x","1","1","1","1","1","","Type Conversions; Permutes; Unpacks; Inserts; FMA","FMA; Inserts; Permutes; Type Conversions; Unpacks","Float32; <b>Float64</b>; Int64; UInt64","32","128/256/512","AVX; AVX2; AVX512F_512","Unrolled by 2","Unrolled","2","","","MULTIVERSIONED FOR STRIDES IN ASSUMED SHAPE ARRAYS, VER 1; LOOP WAS UNROLLED BY 2","mpi_routines.F90:601","mpi_routines.F90:601","picsar_carl_advisor"
