sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Median","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[loop in pushe_1step2_vec_$omp$parallel_for@55 at pushe_1step2_vec.F90:94]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","8","1.80x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","pushe_1step2_vec.F90:94","pushe_1step2_vec.F90:94","xgc2"
"","[loop in MPID_nem_impi_environment_init_post at mpid_nem_impi_extensions.c:981]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","345","","","","","","","","5","5","5","5","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:981","mpid_nem_impi_extensions.c:981","libmpi.so.12"
"","[loop in MPID_nem_impi_environment_init_pre at mpid_nem_impi_extensions.c:656]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","28.5","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:656","mpid_nem_impi_extensions.c:656","libmpi.so.12"
"","[loop in MPID_nem_impi_environment_init_pre at mpid_nem_impi_extensions.c:805]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","41","","","","","","","","5","5","5","5","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:805","mpid_nem_impi_extensions.c:805","libmpi.so.12"
"","[loop in I_MPI_is_tmi_available at mpid_nem_impi_extensions.c:3149]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:3149","mpid_nem_impi_extensions.c:3149","libmpi.so.12"
"","[loop in __kmp_free_thread at kmp_runtime.c:5570]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5570","kmp_runtime.c:5570","libiomp5.so"
"","[loop in MPID_nem_impi_configuration_init at mpid_nem_impi_extensions.c:197]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","52.6","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","5","5","5","5","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:197","mpid_nem_impi_extensions.c:197","libmpi.so.12"
"","[loop in MPID_nem_impi_configuration_init at mpid_nem_impi_extensions.c:199]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","4","5","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:199","mpid_nem_impi_extensions.c:199","libmpi.so.12"
"","[loop in MPID_nem_impi_configuration_init at mpid_nem_impi_extensions.c:215]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","5","5","5","5","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:215","mpid_nem_impi_extensions.c:215","libmpi.so.12"
"","[loop in MPID_nem_impi_configuration_init at mpid_nem_impi_extensions.c:290]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:290","mpid_nem_impi_extensions.c:290","libmpi.so.12"
"","[loop in MPID_nem_impi_configuration_init at mpid_nem_impi_extensions.c:292]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","mpid_nem_impi_extensions.c:292","mpid_nem_impi_extensions.c:292","libmpi.so.12"
"","[loop in MPID_nem_add_fabrics_to_bc at mpid_nem_init.c:503]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2.18182","cannot compute loop iteration count before executing the loop ","","","","","","","11","11","11","11","1","","","","","0","","","","","","","","mpid_nem_init.c:503","mpid_nem_init.c:503","libmpi.so.12"
"","[loop in MPID_nem_init_post at mpid_nem_init.c:1382]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","20.3333","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","mpid_nem_init.c:1382","mpid_nem_init.c:1382","libmpi.so.12"
"","[loop in get_local_procs at mpid_nem_init.c:2075]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","28","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpid_nem_init.c:2075","mpid_nem_init.c:2075","libmpi.so.12"
"","[loop in MPID_nem_init_ckpt at mpid_nem_init.c:722]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","mpid_nem_init.c:722","mpid_nem_init.c:722","libmpi.so.12"
"","[loop in MPID_nem_init_ckpt at mpid_nem_init.c:726]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","48","","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","mpid_nem_init.c:726","mpid_nem_init.c:726","libmpi.so.12"
"","[loop in MPID_nem_init_ckpt at mpid_nem_init.c:733]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","mpid_nem_init.c:733","mpid_nem_init.c:733","libmpi.so.12"
"","[loop in MPID_nem_init_ckpt at mpid_nem_init.c:920]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","140.125","","","","","","","","128","128","128","128","1","","","","","0","","","","","","","","mpid_nem_init.c:920","mpid_nem_init.c:920","libmpi.so.12"
"","[loop in MPID_nem_init_ckpt at mpid_nem_init.c:1007]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","104","","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","mpid_nem_init.c:1007","mpid_nem_init.c:1007","libmpi.so.12"
"","[loop in MPID_nem_init_ckpt at mpid_nem_init.c:1072]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","236","","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","mpid_nem_init.c:1072","mpid_nem_init.c:1072","libmpi.so.12"
"","[loop in MPID_nem_impi_netmod_init at mpid_nem_init.c:451]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","20","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","mpid_nem_init.c:451","mpid_nem_init.c:451","libmpi.so.12"
"","[loop in __kmp_reset_root at kmp_runtime.c:4026]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:4026","kmp_runtime.c:4026","libiomp5.so"
"","[loop in MPID_nem_impi_netmod_init at mpid_nem_init.c:422]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","mpid_nem_init.c:422","mpid_nem_init.c:422","libmpi.so.12"
"","[loop in MPID_nem_impi_netmod_init at mpid_nem_init.c:422]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","mpid_nem_init.c:422","mpid_nem_init.c:422","libmpi.so.12"
"","[loop in MPID_nem_lmt_dcp_start_recv at mpid_nem_lmt_dcp.c:287]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","37","","","","","0","","","","","","","","mpid_nem_lmt_dcp.c:287","mpid_nem_lmt_dcp.c:287","libmpi.so.12"
"","[loop in dcp_read at mpid_nem_lmt_dcp.c:105]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","37","","","","","0","","","","","","","","mpid_nem_lmt_dcp.c:105","mpid_nem_lmt_dcp.c:105","libmpi.so.12"
"","[loop in MPID_nem_impi_release_req_cookie at mpid_nem_impi_extensions.h:490]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","43","","","","","0","","","","","","","","mpid_nem_impi_extensions.h:490","mpid_nem_impi_extensions.h:490","libmpi.so.12"
"","[loop in __do_global_ctors_aux]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libmkl_intel_thread.so"
"","[loop in MPID_nem_get_netmod_id_by_name at mpid_nem_network.c:45]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","11.3684","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","0","5","8","","","","","0","","","","","","","","mpid_nem_network.c:45","mpid_nem_network.c:45","libmpi.so.12"
"","[loop in MPID_VCRT_Release at mpid_vc.c:200]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","2","2","1","4","2","","","","","0","","","","","","","","mpid_vc.c:200","mpid_vc.c:200","libmpi.so.12"
"","[loop in MPIDI_Populate_vc_node_ids at mpid_vc.c:1420]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","17","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpid_vc.c:1420","mpid_vc.c:1420","libmpi.so.12"
"","[loop in MPIDI_Populate_vc_node_ids at mpid_vc.c:1428]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","100.75","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpid_vc.c:1428","mpid_vc.c:1428","libmpi.so.12"
"","[loop in MPIDI_Populate_vc_node_ids at mpid_vc.c:1453]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","3","","","","","0","","","","","","","","mpid_vc.c:1453","mpid_vc.c:1453","libmpi.so.12"
"","[loop in MPIDI_Populate_vc_node_ids at mpid_vc.c:1477]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpid_vc.c:1477","mpid_vc.c:1477","libmpi.so.12"
"","[loop in MPIDI_Populate_vc_node_ids at mpid_vc.c:1493]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpid_vc.c:1493","mpid_vc.c:1493","libmpi.so.12"
"","[loop in MPIDI_PG_Finalize at mpidi_pg.c:141]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","52","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","mpidi_pg.c:141","mpidi_pg.c:141","libmpi.so.12"
"","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:67]","-1","","n/a","n/a","n/a","Inside vectorized Completely Unrolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 3","Contains Completely Unrolled Loop","3","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 3","efield_gk_elec2_vec.F90:67","efield_gk_elec2_vec.F90:67","xgc2"
"","[loop in MPIDI_PG_Destroy at mpidi_pg.c:325]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","mpidi_pg.c:325","mpidi_pg.c:325","libmpi.so.12"
"","[loop in MPIDI_PG_Destroy at mpidi_pg.c:341]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","20","cannot compute loop iteration count before executing the loop ","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpidi_pg.c:341","mpidi_pg.c:341","libmpi.so.12"
"","[loop in MPIDI_PG_Create at mpidi_pg.c:254]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","mpidi_pg.c:254","mpidi_pg.c:254","libmpi.so.12"
"","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:118]","-1","","n/a","n/a","n/a","Scalar Completely Unrolled","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 3","Contains Completely Unrolled Loop","3","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 3","efield_gk_elec2_vec.F90:118","efield_gk_elec2_vec.F90:118","xgc2"
"","[loop in get_acoef_vec at bicub_mod.F90:1494]","-1","","n/a","n/a","n/a","Inside vectorized Completely Unrolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 4","Contains Completely Unrolled Loop","4","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 4","bicub_mod.F90:1494","bicub_mod.F90:1494","xgc2"
"","[loop in MPIDI_PG_Close_VCs at mpidi_pg.c:1316]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","Divisions","Divisions","","0","","","","","","","","mpidi_pg.c:1316","mpidi_pg.c:1316","libmpi.so.12"
"","[loop in MPIDI_PG_Close_VCs at mpidi_pg.c:1327]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","51","cannot compute loop iteration count before executing the loop ","","","","","","","4","4","4","4","1","","Divisions","Divisions","","0","","","","","","","","mpidi_pg.c:1327","mpidi_pg.c:1327","libmpi.so.12"
"","[loop in __kmp_allocate_team at kmp_runtime.c:5099]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5099","kmp_runtime.c:5099","libiomp5.so"
"","[loop in __kmp_allocate_team at kmp_runtime.c:5104]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5104","kmp_runtime.c:5104","libiomp5.so"
"","[loop in t_coeff_vec at search.F90:270]","-1","","n/a","n/a","n/a","Inside vectorized Completely Unrolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 2","Contains Completely Unrolled Loop","2","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 2","search.F90:270","search.F90:270","xgc2"
"","[loop in MPID_Wtime_init at mpidtime.c:648]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","1","1","0","1","11","","","","Float64","3","","","","","","","","mpidtime.c:648","mpidtime.c:648","libmpi.so.12"
"","[loop in search_tr2_vec at search.F90:849]","-1","","n/a","n/a","n/a","Scalar Completely Unrolled","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 2","Contains Completely Unrolled Loop","2","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 2","search.F90:849","search.F90:849","xgc2"
"","[loop in I_MPI_get_gettimeofday_resolution at mpidtime.c:657]","-1","1 Data type conversions present ","n/a","n/a","n/a","Scalar [Not Executed]","36","","0.0417","","","< 0.0001","2","< 0.0001","48","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","4","10","","Type Conversions","Type Conversions","Float64","3","","","","","","","","mpidtime.c:657","mpidtime.c:657","libmpi.so.12"
"","[loop in diag_1d_port1 at diagnosis.F90:84]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","","","","","","","","8","3.58x","","","","","","","","","","","","","","Fused","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS FUSED","diagnosis.F90:84","diagnosis.F90:84","xgc2"
"","[loop in MPIR_Grequest_progress_poke at mpir_request.c:565]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","1","1","1","1","93","","","","","0","","","","","","","","mpir_request.c:565","mpir_request.c:565","libmpi.so.12"
"","[loop in __kmp_allocate_team at kmp_runtime.c:5211]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5211","kmp_runtime.c:5211","libiomp5.so"
"","[loop in MPIR_Grequest_progress_poke at mpir_request.c:588]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","12","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","1","1","1","1","93","","","","","0","","","","","","","","mpir_request.c:588","mpir_request.c:588","libmpi.so.12"
"","[loop in __kmp_allocate_team at kmp_runtime.c:5098]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5098","kmp_runtime.c:5098","libiomp5.so"
"","[loop in __kmp_allocate_team at kmp_runtime.c:5227]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5227","kmp_runtime.c:5227","libiomp5.so"
"","[loop in __kmp_allocate_team at kmp_runtime.c:5266]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:5266","kmp_runtime.c:5266","libiomp5.so"
"","[loop in diag_1d_port1 at diagnosis.F90:56]","-1","1 Ineffective peeled/remainder loop(s) present ","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","","","","","","","","8","3.58x","","","","","","","","","","","","","","Fused","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS FUSED","diagnosis.F90:56","diagnosis.F90:56","xgc2"
"","[loop in pushe_single_vec at pushe_single_vec.F90:46]","-1","","n/a","n/a","n/a","Inside vectorized Completely Unrolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 3","Contains Completely Unrolled Loop","3","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 3","pushe_single_vec.F90:46","pushe_single_vec.F90:46","xgc2"
"","[loop in chargee_search_index_$omp$parallel_for@38 at charge.F90:82]","-1","1 Assumed dependency present ","n/a","n/a","n/a","Scalar Completely Unrolled","","","","","","","","","","vector dependence prevents vectorization","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 3","Contains Completely Unrolled Loop","3","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 3","charge.F90:82","charge.F90:82","xgc2"
"","[loop in pushe_1step2_vec_$omp$parallel_for@55 at pushe_1step2_vec.F90:85]","-1","","n/a","n/a","n/a","Inside vectorized Completely Unrolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 6","Contains Completely Unrolled Loop","6","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 6","pushe_1step2_vec.F90:85","pushe_1step2_vec.F90:85","xgc2"
"","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:31]","-1","","n/a","n/a","n/a","Inside vectorized Completely Unrolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 3","Contains Completely Unrolled Loop","3","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 3","efield_gk_elec2_vec.F90:31","efield_gk_elec2_vec.F90:31","xgc2"
"","[loop in MPIR_T_env_finalize at mpit_finalize.c:101]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","60","60","60","60","1","","","","","0","","","","","","","","mpit_finalize.c:101","mpit_finalize.c:101","libmpi.so.12"
"","[loop in search_tr2_vec at search.F90:836]","-1","","n/a","n/a","n/a","Scalar Completely Unrolled","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 2","Contains Completely Unrolled Loop","2","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 2","search.F90:836","search.F90:836","xgc2"
"","[loop in MPIR_T_env_finalize at mpit_finalize.c:145]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","10","10","10","10","1","","","","","0","","","","","","","","mpit_finalize.c:145","mpit_finalize.c:145","libmpi.so.12"
"","[loop in MPIR_T_cat_env_finalize at mpit_finalize.c:63]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","284","","","","","","","","11","11","11","11","1","","","","","0","","","","","","","","mpit_finalize.c:63","mpit_finalize.c:63","libmpi.so.12"
"","[loop in MPIR_T_env_finalize at mpit_finalize.c:77]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","1","2","","","","","0","","","","","","","","mpit_finalize.c:77","mpit_finalize.c:77","libmpi.so.12"
"","[loop in pushe_single_vec at pushe_single_vec.F90:87]","-1","1 Possible inefficient memory access patterns present ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","8","1.20x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","pushe_single_vec.F90:87","pushe_single_vec.F90:87","xgc2"
"","[loop in __intel_mic_avx512f_memcpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","18.3209","","","","","","","","","","","","","","","NT-stores","NT-stores","UInt32; UInt64","1","512","AVX512F_512","","","","","","","","xgc2"
"","[loop in pushe_single_vec at pushe_single_vec.F90:102]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","8","5.48x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","pushe_single_vec.F90:102","pushe_single_vec.F90:102","xgc2"
"","[loop in pushe_single_vec at pushe_single_vec.F90:96]","-1","1 Possible inefficient memory access patterns present ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","8","1.20x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","pushe_single_vec.F90:96","pushe_single_vec.F90:96","xgc2"
"","[loop in pushe_single_vec at pushe_single_vec.F90:98]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","8","1.57x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","pushe_single_vec.F90:98","pushe_single_vec.F90:98","xgc2"
"","[loop in search_tr_check_guess at search.F90:897]","-1","","n/a","n/a","n/a","Scalar Completely Unrolled","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","","","","Contains Completely Unrolled Loop by 2","Contains Completely Unrolled Loop","2","","LOOP CONTAINS COMPLETELY UNROLLED LOOP BY 2","search.F90:897","search.F90:897","xgc2"
"","[loop in __kmp_do_middle_initialize at kmp_runtime.c:6816]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_runtime.c:6816","kmp_runtime.c:6816","libiomp5.so"
"","[loop in MPIR_BOR at opbor.c:35]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","12","","","","","","","","1","1","1","1","4","","","","","0","","","","","","","","opbor.c:35","opbor.c:35","libmpi.so.12"
"","[loop in efield_elec_vec at efield_elec_vec.F90:24]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","4","1.20x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","efield_elec_vec.F90:24","efield_elec_vec.F90:24","xgc2"
"","[loop in pushe_single_vec at pushe_single_vec.F90:91]","-1","1 Possible inefficient memory access patterns present ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","","","","","8","1.20x","","","","","","","","","","","","","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","pushe_single_vec.F90:91","pushe_single_vec.F90:91","xgc2"
"","[loop in __intel_sse4_strncmp]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0072","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","0","0","0","0","225667","","","","Int32","1","128","SSE2; SSE42","","","","","","","","xgc2"
"","[loop in __intel_sse4_strncmp]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","225673","","","","","1","","","","","","","","","","xgc2"
"","[loop in __kmp_stg_find at kmp_settings.c:4842]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_settings.c:4842","kmp_settings.c:4842","libiomp5.so"
"","[loop in __kmp_stg_find at kmp_settings.c:4843]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_settings.c:4843","kmp_settings.c:4843","libiomp5.so"
"","[loop in __intel_sse4_strncmp]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0045","5","cannot compute loop iteration count before executing the loop ","","","","","","","4","4","4","4","225034","","","","","0","","","","","","","","","","xgc2"
"","[loop in __kmp_stg_check_rivals at kmp_settings.c:5095]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","kmp_settings.c:5095","kmp_settings.c:5095","libiomp5.so"
